Actor MLP: Sequential(
  (0): Linear(in_features=33, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=8, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=33, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
=== Stage 1: 0.1 m/s ===
[WandB] Iter 0 | reward=0.00 | loss=0.1626
[WandB] Iter 0 | reward=0.00 | loss=0.1626
[Plot] saved to logs/test_logging/metrics.png
[WandB] Iter 1 | reward=-0.00 | loss=0.1267
[WandB] Iter 1 | reward=-0.00 | loss=0.1267
[WandB] Iter 2 | reward=0.00 | loss=0.0943
[WandB] Iter 2 | reward=0.00 | loss=0.0943
[WandB] Iter 3 | reward=0.01 | loss=0.0779
[WandB] Iter 3 | reward=0.01 | loss=0.0779
[WandB] Iter 4 | reward=0.01 | loss=0.0697
[WandB] Iter 4 | reward=0.01 | loss=0.0697
[WandB] Iter 5 | reward=0.01 | loss=0.0661
[WandB] Iter 5 | reward=0.01 | loss=0.0661
[WandB] Iter 6 | reward=0.02 | loss=0.0596
[WandB] Iter 6 | reward=0.02 | loss=0.0596
[WandB] Iter 7 | reward=0.02 | loss=0.0568
[WandB] Iter 7 | reward=0.02 | loss=0.0568
[WandB] Iter 8 | reward=0.02 | loss=0.0578
[WandB] Iter 8 | reward=0.02 | loss=0.0578
[WandB] Iter 9 | reward=0.03 | loss=0.0624
[WandB] Iter 9 | reward=0.03 | loss=0.0624
[WandB] Iter 10 | reward=0.03 | loss=0.0605
[WandB] Iter 10 | reward=0.03 | loss=0.0605
[WandB] Iter 11 | reward=0.03 | loss=0.0669
[WandB] Iter 11 | reward=0.03 | loss=0.0669
[WandB] Iter 12 | reward=0.03 | loss=0.0839
[WandB] Iter 12 | reward=0.03 | loss=0.0839
[WandB] Iter 13 | reward=0.04 | loss=0.0711
[WandB] Iter 13 | reward=0.04 | loss=0.0711
[WandB] Iter 14 | reward=0.04 | loss=0.0679
[WandB] Iter 14 | reward=0.04 | loss=0.0679
[WandB] Iter 15 | reward=0.04 | loss=0.0704
[WandB] Iter 15 | reward=0.04 | loss=0.0704
[WandB] Iter 16 | reward=0.04 | loss=0.0675
[WandB] Iter 16 | reward=0.04 | loss=0.0675
[WandB] Iter 17 | reward=0.04 | loss=0.0761
[WandB] Iter 17 | reward=0.04 | loss=0.0761
[WandB] Iter 18 | reward=0.05 | loss=0.0863
[WandB] Iter 18 | reward=0.05 | loss=0.0863
[WandB] Iter 19 | reward=0.05 | loss=0.0816
[WandB] Iter 19 | reward=0.05 | loss=0.0816
=== Stage 2: 0.3 m/s ===
[WandB] Iter 19 | reward=0.04 | loss=0.0729
[WandB] Iter 19 | reward=0.04 | loss=0.0729
=== Stage 3: 0.4 m/s ===
[WandB] Iter 19 | reward=0.03 | loss=0.0637
[WandB] Iter 19 | reward=0.03 | loss=0.0637
=== Stage 4: 0.5 m/s ===
[WandB] Iter 19 | reward=0.03 | loss=0.0489
[WandB] Iter 19 | reward=0.03 | loss=0.0489
[WandB] Iter 20 | reward=0.02 | loss=0.0484
[WandB] Iter 20 | reward=0.02 | loss=0.0484
[WandB] Iter 21 | reward=0.02 | loss=0.0323
[WandB] Iter 21 | reward=0.02 | loss=0.0323
[WandB] Iter 22 | reward=0.03 | loss=0.0270
[WandB] Iter 22 | reward=0.03 | loss=0.0270
[WandB] Iter 23 | reward=0.03 | loss=0.0262
[WandB] Iter 23 | reward=0.03 | loss=0.0262
[WandB] Iter 24 | reward=0.03 | loss=0.0273
[WandB] Iter 24 | reward=0.03 | loss=0.0273
[WandB] Iter 25 | reward=0.03 | loss=0.0258
[WandB] Iter 25 | reward=0.03 | loss=0.0258
[WandB] Iter 26 | reward=0.03 | loss=0.0253
[WandB] Iter 26 | reward=0.03 | loss=0.0253
[WandB] Iter 27 | reward=0.04 | loss=0.0259
[WandB] Iter 27 | reward=0.04 | loss=0.0259
[WandB] Iter 28 | reward=0.04 | loss=0.0272
[WandB] Iter 28 | reward=0.04 | loss=0.0272
[WandB] Iter 29 | reward=0.04 | loss=0.0292
[WandB] Iter 29 | reward=0.04 | loss=0.0292
[WandB] Iter 30 | reward=0.04 | loss=0.0301
[WandB] Iter 30 | reward=0.04 | loss=0.0301
[WandB] Iter 31 | reward=0.04 | loss=0.0323
[WandB] Iter 31 | reward=0.04 | loss=0.0323
[WandB] Iter 32 | reward=0.04 | loss=0.0346
[WandB] Iter 32 | reward=0.04 | loss=0.0346
[WandB] Iter 33 | reward=0.04 | loss=0.0388
[WandB] Iter 33 | reward=0.04 | loss=0.0388
[WandB] Iter 34 | reward=0.05 | loss=0.0597
[WandB] Iter 34 | reward=0.05 | loss=0.0597
[WandB] Iter 35 | reward=0.05 | loss=0.0418
[WandB] Iter 35 | reward=0.05 | loss=0.0418
[WandB] Iter 36 | reward=0.05 | loss=0.0426
[WandB] Iter 36 | reward=0.05 | loss=0.0426
[WandB] Iter 37 | reward=0.05 | loss=0.0454
[WandB] Iter 37 | reward=0.05 | loss=0.0454
[WandB] Iter 38 | reward=0.05 | loss=0.0461
[WandB] Iter 38 | reward=0.05 | loss=0.0461
=== Trained model saved at logs/test_logging/model_final.pt ===
