Actor MLP: Sequential(
  (0): Linear(in_features=33, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=8, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=33, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
=== Stage 1: 0.1 m/s ===
[WandB] Iter 0 | reward=0.00 | loss=0.1496
[WandB] Iter 0 | reward=0.00 | loss=0.1496
[Plot] saved to logs/test_logging/metrics.png
[WandB] Iter 1 | reward=-0.00 | loss=0.1235
[WandB] Iter 1 | reward=-0.00 | loss=0.1235
[WandB] Iter 2 | reward=0.00 | loss=0.0827
[WandB] Iter 2 | reward=0.00 | loss=0.0827
[WandB] Iter 3 | reward=0.01 | loss=0.0980
[WandB] Iter 3 | reward=0.01 | loss=0.0980
[WandB] Iter 4 | reward=0.01 | loss=0.0707
[WandB] Iter 4 | reward=0.01 | loss=0.0707
[WandB] Iter 5 | reward=0.01 | loss=0.0648
[WandB] Iter 5 | reward=0.01 | loss=0.0648
[WandB] Iter 6 | reward=0.02 | loss=0.0624
[WandB] Iter 6 | reward=0.02 | loss=0.0624
[WandB] Iter 7 | reward=0.02 | loss=0.0602
[WandB] Iter 7 | reward=0.02 | loss=0.0602
[WandB] Iter 8 | reward=0.02 | loss=0.0792
[WandB] Iter 8 | reward=0.02 | loss=0.0792
[WandB] Iter 9 | reward=0.02 | loss=0.0608
[WandB] Iter 9 | reward=0.02 | loss=0.0608
[WandB] Iter 10 | reward=0.03 | loss=0.0603
[WandB] Iter 10 | reward=0.03 | loss=0.0603
[WandB] Iter 11 | reward=0.03 | loss=0.0658
[WandB] Iter 11 | reward=0.03 | loss=0.0658
[WandB] Iter 12 | reward=0.03 | loss=0.0652
[WandB] Iter 12 | reward=0.03 | loss=0.0652
[WandB] Iter 13 | reward=0.03 | loss=0.0699
[WandB] Iter 13 | reward=0.03 | loss=0.0699
[WandB] Iter 14 | reward=0.04 | loss=0.0725
[WandB] Iter 14 | reward=0.04 | loss=0.0725
[WandB] Iter 15 | reward=0.04 | loss=0.0812
[WandB] Iter 15 | reward=0.04 | loss=0.0812
[WandB] Iter 16 | reward=0.04 | loss=0.0900
[WandB] Iter 16 | reward=0.04 | loss=0.0900
[WandB] Iter 17 | reward=0.04 | loss=0.0857
[WandB] Iter 17 | reward=0.04 | loss=0.0857
[WandB] Iter 18 | reward=0.04 | loss=0.0970
[WandB] Iter 18 | reward=0.04 | loss=0.0970
[WandB] Iter 19 | reward=0.04 | loss=0.0842
[WandB] Iter 19 | reward=0.04 | loss=0.0842
=== Stage 2: 0.3 m/s ===
[WandB] Iter 19 | reward=0.04 | loss=0.0859
[WandB] Iter 19 | reward=0.04 | loss=0.0859
=== Stage 3: 0.4 m/s ===
[WandB] Iter 19 | reward=0.03 | loss=0.0734
[WandB] Iter 19 | reward=0.03 | loss=0.0734
=== Stage 4: 0.5 m/s ===
[WandB] Iter 19 | reward=0.02 | loss=0.0713
[WandB] Iter 19 | reward=0.02 | loss=0.0713
[WandB] Iter 20 | reward=0.02 | loss=0.0507
[WandB] Iter 20 | reward=0.02 | loss=0.0507
[WandB] Iter 21 | reward=0.02 | loss=0.0460
[WandB] Iter 21 | reward=0.02 | loss=0.0460
[WandB] Iter 22 | reward=0.02 | loss=0.0390
[WandB] Iter 22 | reward=0.02 | loss=0.0390
[WandB] Iter 23 | reward=0.03 | loss=0.0354
[WandB] Iter 23 | reward=0.03 | loss=0.0354
[WandB] Iter 24 | reward=0.03 | loss=0.0351
[WandB] Iter 24 | reward=0.03 | loss=0.0351
[WandB] Iter 25 | reward=0.03 | loss=0.0324
[WandB] Iter 25 | reward=0.03 | loss=0.0324
[WandB] Iter 26 | reward=0.03 | loss=0.0327
[WandB] Iter 26 | reward=0.03 | loss=0.0327
[WandB] Iter 27 | reward=0.03 | loss=0.0359
[WandB] Iter 27 | reward=0.03 | loss=0.0359
[WandB] Iter 28 | reward=0.04 | loss=0.0322
[WandB] Iter 28 | reward=0.04 | loss=0.0322
[WandB] Iter 29 | reward=0.04 | loss=0.0337
[WandB] Iter 29 | reward=0.04 | loss=0.0337
[WandB] Iter 30 | reward=0.04 | loss=0.0391
[WandB] Iter 30 | reward=0.04 | loss=0.0391
[WandB] Iter 31 | reward=0.04 | loss=0.0355
[WandB] Iter 31 | reward=0.04 | loss=0.0355
[WandB] Iter 32 | reward=0.04 | loss=0.0426
[WandB] Iter 32 | reward=0.04 | loss=0.0426
[WandB] Iter 33 | reward=0.04 | loss=0.0400
[WandB] Iter 33 | reward=0.04 | loss=0.0400
[WandB] Iter 34 | reward=0.04 | loss=0.0480
[WandB] Iter 34 | reward=0.04 | loss=0.0480
[WandB] Iter 35 | reward=0.05 | loss=0.0439
[WandB] Iter 35 | reward=0.05 | loss=0.0439
[WandB] Iter 36 | reward=0.05 | loss=0.0449
[WandB] Iter 36 | reward=0.05 | loss=0.0449
[WandB] Iter 37 | reward=0.05 | loss=0.0472
[WandB] Iter 37 | reward=0.05 | loss=0.0472
[WandB] Iter 38 | reward=0.05 | loss=0.0484
[WandB] Iter 38 | reward=0.05 | loss=0.0484
=== Trained model saved at logs/test_logging/model_final.pt ===
